plot_id,inv_date,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff_depth_cm,litter_depth_cm,sum_d2_1000s_cm2,sum_d2_1000r_cm2
springs1,8/1/2019,0,0,2,2,4,11.3,4,6,0,10,4,0,0
springs1,8/1/2019,180,0,2,2,4,11.3,0,7,0,1,0.525,0,0
springs1,8/1/2019,90,0,2,2,4,11.3,0,1,1,0.025,2,0,0
springs1,8/1/2019,270,0,2,2,4,11.3,0,3,3,2.5,9,242.5745149,0
springs10,8/1/2019,0,0,2,2,4,11.3,12,2,1,0,3,0,1311.917376
springs10,8/1/2019,180,0,2,2,4,11.3,0,0,0,0,1,39.67992064,200.8795982
springs10,8/1/2019,90,0,2,2,4,11.3,5,2,1,0.05,2,39.67992064,0
springs10,8/1/2019,270,0,2,2,4,11.3,3,0,0,0.05,2,0,0
springs11,8/1/2019,0,0,2,2,4,11.3,1,2,2,2,3.5,0,0
springs11,8/1/2019,180,0,2,2,4,11.3,3,0,1,1.025,3,40.92960564,0
springs11,8/1/2019,90,0,2,2,4,11.3,1,9,4,0,0.05,539.5539209,0
springs11,8/1/2019,270,0,2,2,4,11.3,0,5,3,1.5,1.5,0,0
springs12,8/1/2019,0,20,2,2,4,11.3,5,0,0,1.525,0.05,528.6357427,0
springs12,8/1/2019,180,0,2,2,4,11.3,0,5,1,0.525,3,13.69577261,22.31995536
springs12,8/1/2019,90,0,2,2,4,11.3,5,2,0,1,2,0,0
springs12,8/1/2019,270,0,2,2,4,11.3,3,6,3,1,0.5,8.718732563,0
springs13,8/1/2019,0,0,2,2,4,11.3,4,4,8,0.5,1,0,104.7797904
springs13,8/1/2019,180,0,2,2,4,11.3,4,5,8,2.5,0.05,34.87493025,15.499969
springs13,8/1/2019,90,0,2,2,4,11.3,0,2,3,0,1.5,949.3731013,0
springs13,8/1/2019,270,0,2,2,4,11.3,6,2,1,0,1,1119.87276,0
springs14,8/1/2019,0,0,2,2,4,11.3,1,5,0,0.525,0.05,0,0
springs14,8/1/2019,180,0,2,2,4,11.3,4,2,0,0,0,0,0
springs14,8/1/2019,90,0,2,2,4,11.3,4,5,1,0,1,0,0
springs14,8/1/2019,270,0,2,2,4,11.3,3,2,3,1,0.5,0,0
springs15,8/1/2019,0,0,2,2,4,11.3,2,6,6,0.05,3.5,9.91998016,0
springs15,8/1/2019,180,0,2,2,4,11.3,5,1,2,0.025,0.525,0,0
springs15,8/1/2019,90,0,2,2,4,11.3,1,0,0,0.525,1,0,0
springs15,8/1/2019,270,0,2,2,4,11.3,8,6,10,0.525,1.75,0,0
springs16,8/1/2019,0,0,2,2,4,11.3,3,6,3,1.5,3,0,0
springs16,8/1/2019,180,0,2,2,4,11.3,4,5,2,0,1.025,0,0
springs16,8/1/2019,90,0,2,2,4,11.3,0,0,0,0,1,0,0
springs16,8/1/2019,270,0,2,2,4,11.3,0,0,0,0,0.5,0,0
springs17,8/1/2019,0,0,2,2,4,11.3,0,0,2,0,0.05,0,0
springs17,8/1/2019,180,0,2,2,4,11.3,0,1,0,0,0.05,0,0
springs17,8/1/2019,90,0,2,2,4,11.3,1,2,0,0.525,1.025,0,0
springs17,8/1/2019,270,0,2,2,4,11.3,0,2,2,0.525,1.5,0,0
springs18,8/1/2019,0,0,2,2,4,11.3,0,2,1,0.75,5,27.00869598,0
springs18,8/1/2019,180,0,2,2,4,11.3,8,9,3,0,0.525,50.21989956,0
springs18,8/1/2019,90,0,2,2,4,11.3,0,0,0,0.5,0.525,75.01984996,0
springs18,8/1/2019,270,0,2,2,4,11.3,5,3,3,3,1.5,84.31983136,0
springs19,8/1/2019,0,0,2,2,4,11.3,1,0,1,2.5,2,0,0
springs19,8/1/2019,180,0,2,2,4,11.3,0,0,2,2,1.5,12.55497489,61.999876
springs19,8/1/2019,90,0,2,2,4,11.3,0,4,4,3,2.525,143.8397123,15.499969
springs19,8/1/2019,270,0,2,2,4,11.3,2,0,0,0,1.75,65.25486949,0
springs2,8/1/2019,0,0,2,2,4,11.3,2,3,3,1.525,1.025,0,0
springs2,8/1/2019,180,0,2,2,4,11.3,28,1,1,1.5,0.05,0,0
springs2,8/1/2019,90,0,2,2,4,11.3,5,0,0,1,0.525,0,0
springs2,8/1/2019,270,0,2,2,4,11.3,4,6,3,2.025,3,14.58392083,256.3694873
springs20,8/1/2019,0,0,2,2,4,11.3,1,2,3,0.525,2.5,34.87493025,123.7533025
springs20,8/1/2019,180,0,2,2,4,11.3,1,3,0,1,1.25,19.44316111,0
springs20,8/1/2019,90,0,2,2,4,11.3,5,7,2,1.5,1,22.31995536,0
springs20,8/1/2019,270,0,2,2,4,11.3,0,1,1,2,1,55.95488809,0
springs21,8/1/2019,0,0,2,2,4,11.3,1,0,1,0,7.5,80.75483849,0
springs21,8/1/2019,180,0,2,2,4,11.3,1,5,2,0,1.5,158.7196826,96.87480625
springs21,8/1/2019,90,0,2,2,4,11.3,6,2,0,3.5,2.5,0,96.87480625
springs21,8/1/2019,270,0,2,2,4,11.3,2,1,1,1,2,0,30.37993924
springs22,8/1/2019,0,0,2,2,4,11.3,5,6,5,2,0.05,18.75496249,0
springs22,8/1/2019,180,0,2,2,4,11.3,0,0,0,2.5,0.05,61.999876,0
springs22,8/1/2019,90,0,2,2,4,11.3,8,3,0,2.5,0.525,0,0
springs22,8/1/2019,270,0,2,2,4,11.3,5,7,1,2.5,1,0,15.499969
springs23,8/1/2019,0,0,2,2,4,11.3,0,4,0,0,4.5,0,0
springs23,8/1/2019,180,0,2,2,4,11.3,0,1,0,0,3,0,0
springs23,8/1/2019,90,0,2,2,4,11.3,1,1,1,0,4.5,0,0
springs23,8/1/2019,270,0,2,2,4,11.3,0,0,0,0,4.5,0,0
springs24,8/1/2019,0,0,2,2,4,11.3,1,0,0,2,3.5,40.2999194,0
springs24,8/1/2019,180,0,2,2,4,11.3,0,1,1,1.025,3,0,0
springs24,8/1/2019,90,0,2,2,4,11.3,0,0,0,0.05,3.75,0,0
springs24,8/1/2019,270,0,2,2,4,11.3,1,2,1,0.525,2,0,0
springs25,8/1/2019,0,0,2,2,4,11.3,9,5,1,2,0.525,0,18.75496249
springs25,8/1/2019,180,0,2,2,4,11.3,18,3,0,4,0.525,0,357.1192858
springs25,8/1/2019,90,0,2,2,4,11.3,0,5,0,0,2,0,0
